Follower,Location,Languages
dingyi,Remote,"Smarty, PHP, HTML, SCSS, Vim Script, Dockerfile, Objective-C, Ruby, TypeScript, Shell, C++, CSS, JavaScript, Python, C"
Gregg,"Orlando, FL","CoffeeScript, HTML, SCSS, Vue, Ruby, TypeScript, Shell, CSS, JavaScript, C, Stylus"
theinterned,Toronto,"CoffeeScript, HTML, Dockerfile, Ruby, TypeScript, AppleScript, Shell, CSS, JavaScript, Python"
yangjindong,"Huai'an, China","CoffeeScript, Gherkin, HTML, SCSS, Vue, Dockerfile, Ruby, TypeScript, Shell, CSS, JavaScript"
tpaksu,"Istanbul, Turkey","CoffeeScript, PHP, HTML, Blade, Hack, TypeScript, Batchfile, C#, C++, CSS, JavaScript, C"
abraham,"Madison, WI","Dart, CoffeeScript, Smarty, Java, EJS, HTML, SCSS, PHP, Ruby, TypeScript, Kotlin, Shell, CSS, JavaScript, Python, Objective-C, Handlebars"
fabricio,not found,"Lua, HTML, SCSS, Swift, Dockerfile, Ruby, TypeScript, Shell, Sass, Scheme, ApacheConf, CSS, JavaScript, Fennel"
jnarowski,"Denver, CO","CoffeeScript, HTML, Vue, Dockerfile, Ruby, Shell, CSS, JavaScript, Python"
ledermann,"Jülich, Germany","Gherkin, PHP, HTML, SCSS, Vue, Dockerfile, Ruby, Shell, CSS, JavaScript, C, Slim"
makyox,,"Lex, Go, Perl, Vue, TypeScript, C, JavaScript, Cuda, Prolog, PLSQL, PHP, HTML, Awk, Dockerfile, Perl 6, Assembly, C++, CSS, UnrealScript, CMake, SourcePawn, Shell, XSLT, Python, Smarty, Objective-C, Yacc, Batchfile, Makefile, ApacheConf, GDB"
brainv,Philippines,"Java, Go, HTML, SCSS, Vue, Swift, Dockerfile, Ruby, TypeScript, Shell, Assembly, Makefile, C, JavaScript, Python, Objective-C"
mrluanma,"Shanghai, China","Go, HTML, Dockerfile, Procfile, Nix, CSS, C++, C, JavaScript, Python"
heijmerikx,"Zwolle, the Netherlands","HTML, SCSS, Perl, Ruby, Shell, CSS, C, JavaScript, Python, Objective-C"
DougHall,"Pike Road, AL USA","Elixir, JavaScript, HTML, CSS"
kaichen,Crypto,"Java, Go, SCSS, Vue, Ruby, TypeScript, JavaScript, Rust, CoffeeScript, PHP, HTML, Dockerfile, CSS, Solidity, Shell, Python, Objective-C, Elixir, Kotlin, Makefile"
benatkin,"Miami, FL","Io, Clojure, CoffeeScript, HTML, Dockerfile, Ruby, TypeScript, Shell, Makefile, CSS, JavaScript, Python"
wuwx,"Shenyang, China","Lex, Java, Go, Perl, Vue, Ruby, TypeScript, XS, C, JavaScript, CoffeeScript, PLSQL, PHP, HTML, Awk, M4, Dockerfile, Perl 6, Assembly, Tcl, C++, CSS, UnrealScript, CMake, Roff, HCL, PLpgSQL, ASP, Shell, XSLT, sed, Python, Objective-C, Scilab, Yacc, Batchfile, Makefile, GDB"
ihower,"Hsinchu, Taiwan","CoffeeScript, HTML, Swift, Ruby, Shell, CSS, JavaScript, Python, C"
jlahijani,"Los Angeles, CA","HTML, JavaScript, CSS, PHP"
sonereker,"Istanbul, Türkiye","HCL, Java, Rich Text Format, Go, HTML, SCSS, Dockerfile, Ruby, TypeScript, Shell, Makefile, CSS, JavaScript"
yeliu84,"Toronto, ON, Canada","Java, Go, Ruby, OCaml, C, JavaScript, Nix, PHP, HTML, Dockerfile, Elm, Assembly, C++, CSS, Roff, SourcePawn, Shell, XSLT, PowerShell, Python, AutoHotkey, Objective-C, Makefile, Inno Setup, C#, Reason"
ascarter,"Snoqualmie, WA","Emacs Lisp, Go, Perl, Vim Script, Ruby, C, JavaScript, CoffeeScript, PHP, HTML, Dockerfile, AppleScript, C++, CSS, Shell, PowerShell, Smarty, Python, Lua, Batchfile, Makefile"
jmrepetti,,"Clojure, Java, reStructuredText, Go, SCSS, Perl, Swift, F#, Ruby, TypeScript, C, JavaScript, Rust, Cuda, R, ShaderLab, Meson, CoffeeScript, PHP, HTML, Dockerfile, Haxe, Raku, C++, CSS, Erlang, Roff, Visual Basic .NET, Hack, Shell, Objective-C++, PowerShell, Python, Objective-C, GDScript, Lua, Groovy, GLSL, Elixir, Batchfile, C#, Makefile, Inno Setup, HLSL"
olifante,"Berlin, Germany","Objective-J, Emacs Lisp, Perl, Vim Script, D, SCSS, Ruby, TypeScript, C, JavaScript, Rust, HTML, Dockerfile, CSS, Procfile, ASP, Shell, Python, Objective-C, Vim Snippet, Makefile"
hanonno,Amsterdam,"CoffeeScript, HTML, Perl, Vue, Ruby, C, Shell, C++, CSS, JavaScript, Objective-C"
crei0,South of France,"PHP, HTML, Svelte, Objective-C, TypeScript, Batchfile, Shell, C#, Assembly, C++, CSS, JavaScript, PowerShell, Python, CMake, C, Roff"
yury,Vladimir,"Clojure, DTrace, Java, Emacs Lisp, Go, Vim Script, Swift, Perl, D, XQuery, PostScript, Haskell, Ruby, VBScript, TypeScript, ABAP, ColdFusion, Scheme, OCaml, C, JavaScript, ActionScript, Common Lisp, Rust, SystemVerilog, R, LiveScript, Dart, PLSQL, CoffeeScript, PHP, HTML, Awk, Dockerfile, Haxe, Tcl, Assembly, C++, CSS, NewLisp, Roff, Erlang, TeX, Scala, MATLAB, VHDL, XSLT, Shell, Objective-C++, PowerShell, Python, AutoHotkey, Objective-C, Visual Basic, Graphviz (DOT), Smalltalk, Lua, Groovy, Julia, Batchfile, Makefile, Verilog, C#, Pascal"
gakaki,Shanghai,"Java, Go, HTML, Rust, Swift, Dockerfile, Objective-C, Ruby, TypeScript, Shell, C#, Inno Setup, C++, CSS, JavaScript, ActionScript, Python, C"
standino,Beijing,"Emacs Lisp, Perl, Ruby, Scheme, C, JavaScript, Common Lisp, R, Prolog, PHP, HTML, Awk, C++, CSS, NewLisp, Erlang, Groff, TeX, Scala, QMake, Shell, Python, Groovy, Makefile"
huacnlee,"Chengdu, China","Java, Go, SCSS, Ruby, TypeScript, C, JavaScript, Rust, PHP, HTML, Dockerfile, CSS, Handlebars, Rich Text Format, EJS, Less, Shell, XSLT, Python, Kotlin, Makefile"
boticello,Hinterland,"Java, HTML, SCSS, Nunjucks, Dockerfile, TypeScript, Shell, Makefile, XSLT, CSS, JavaScript, Python"
serdar,"Sydney, Australia","Go, Astro, HTML, SCSS, MDX, Dockerfile, Ruby, TypeScript, Shell, C#, Makefile, C++, CSS, JavaScript, CMake, C, Roff, Stylus"
mpstaton,"San Francisco, CA ","HTML, SCSS, Dockerfile, Pug, Shell, CSS, JavaScript, Python"
karmatr0n,NoWhereLand,"Java, Rust, HTML, Go, Scala, M4, Dockerfile, Ruby, Shell, Makefile, CSS, C++, C, JavaScript, Python, Objective-C, Roff"
wickkidd,Washington DC,"Dart, CoffeeScript, HTML, SCSS, Vue, Dockerfile, Ruby, TypeScript, Shell, Makefile, CSS, JavaScript, Objective-C"
bauerpl,"Gdynia, Poland","PHP, HTML, Dockerfile, Ruby, Shell, Twig, JavaScript, Python"
tkersey,"Los Angeles, CA","TeX, Lua, HTML, Swift, Haskell, Idris, Ruby, TypeScript, Objective-C, Shell, Objective-C++, C++, CSS, JavaScript, Nix, C"
hoverbird,"Asheville, NC","Clojure, ShaderLab, CoffeeScript, Gherkin, Lua, HTML, GLSL, Ruby, Batchfile, Shell, C#, CSS, JavaScript, Python, HLSL"
jarib,"Oslo, Norway","Objective-J, Racket, Vim Script, Perl, Ruby, C, JavaScript, Stan, R, TSQL, HTML, Dockerfile, Tcl, C++, CSS, Handlebars, PLpgSQL, ASP, Jupyter Notebook, Shell, PowerShell, Python, Objective-C, C#, Makefile, ApacheConf"
pyrat,,"EJS, HTML, Vim Script, Perl, SCSS, Dockerfile, Procfile, Objective-C, Ruby, Shell, Makefile, C++, CSS, JavaScript, Haml, C"
sunfmin,Hangzhou,"Java, Go, Emacs Lisp, Ruby, TypeScript, C, JavaScript, TSQL, CoffeeScript, HTML, Dockerfile, Assembly, C++, CSS, CMake, Thrift, Shell, Python, Objective-C, Makefile"
ludwig,,"Java, Go, Vim Script, Perl, Swift, Haskell, Ruby, C, JavaScript, Dockerfile, C++, CSS, Roff, Groff, Jupyter Notebook, Shell, Python, Fortran, Objective-C, Lua, Batchfile, Makefile"
charlenopires,Amarante | PI | Brazil,"Dart, TeX, Emacs Lisp, HTML, Swift, Elixir, Kotlin, TypeScript, Ruby, Makefile, Shell, CSS, JavaScript, Python, Objective-C, Erlang"
lgs,Milan - Italy,"Go, SCSS, Vue, Perl, Svelte, Ruby, TypeScript, C, JavaScript, CoffeeScript, HTML, Dockerfile, C++, CSS, Handlebars, HCL, Solidity, Shell, Jinja, MDX, Python, Yacc, Batchfile, Makefile"
cw,"Evansville, WI","CoffeeScript, Java, Gherkin, Rust, HTML, Vim Script, Jupyter Notebook, Ruby, TypeScript, Shell, Makefile, C++, CSS, JavaScript, Python, C, Handlebars"
statonjr,"Orlando, FL","Clojure, Java, OpenEdge ABL, Ruby, TypeScript, Scheme, JavaScript, Apex, HTML, CSS, Groff, TeX, Standard ML, Shell, XSLT, Visual Basic, Smalltalk, Batchfile, Factor"
gohanlon,"Portland, OR","Emacs Lisp, Vim Script, Swift, Perl, SCSS, Starlark, Ruby, TypeScript, C, JavaScript, CoffeeScript, HTML, Dockerfile, CSS, CMake, TeX, Shell, Python, Lua, GLSL, Makefile"
justinwiley,,"Clojure, Java, Go, Alloy, F#, Ruby, TypeScript, JavaScript, CoffeeScript, HTML, Dockerfile, CSS, Erlang, Shell, Python, Velocity Template Language, Groovy, Batchfile, C#"
oliyoung,Kaurna Yerta / Adelaide,"HTML, Jupyter Notebook, TypeScript, block, CSS, JavaScript, message"
ihower,"Hsinchu, Taiwan","CoffeeScript, HTML, Swift, Ruby, Shell, CSS, JavaScript, Python, C"
dududoor,,
brycethornton,"Columbus, OH","PHP, HTML, Vim Script, Vue, Dockerfile, Ruby, Shell, Makefile, C, Crystal, Python"
polaris,Berlin,"PowerShell, Meson, HTML, Dockerfile, QMake, Ruby, Batchfile, Shell, Makefile, CSS, C++, C, JavaScript, Common Lisp, Python, CMake, Assembly, Erlang"
neilh,,"CoffeeScript, HTML, Makefile, CSS, JavaScript, Python"
ericluo,"WuHan, China","Java, Emacs Lisp, Perl, SCSS, Vim Script, Ruby, TypeScript, JavaScript, R, Cuda, CoffeeScript, PHP, HTML, AppleScript, C++, CSS, Erlang, Jupyter Notebook, Shell, PowerShell, Python, Objective-C, Pug, Batchfile, C#, Makefile, Pascal"
serdar,"Sydney, Australia","Go, Astro, HTML, SCSS, MDX, Dockerfile, Ruby, TypeScript, Shell, C#, Makefile, C++, CSS, JavaScript, CMake, C, Roff, Stylus"
herval,"San Francisco, CA","Go, SCSS, Swift, Ruby, TypeScript, JavaScript, PLSQL, HTML, Astro, Dockerfile, Elm, CSS, Handlebars, Solidity, Scala, Shell, Python, Lua, Kotlin, Makefile"
devraj,"Canberra, ACT Australia","Java, Swift, C, JavaScript, Dart, HTML, Dockerfile, C++, CSS, HCL, QMake, Shell, Python, Objective-C, xBase, Lua, GLSL, C#, Makefile"
jhaynie,"Austin, TX","Clojure, Java, Go, Vue, Protocol Buffer, TypeScript, JavaScript, Rust, CoffeeScript, HTML, Dockerfile, CSS, HCL, Scala, Shell, Python, Smarty, GCC Machine Description, Groovy, Batchfile, Makefile"
robin,"Beijing, China","XSLT, Groff, HTML, Swift, Ragel, Ruby, Shell, Objective-C++, CSS, C++, C, JavaScript, Makefile, Python, Cap'n Proto, Objective-C"
chicosilva,Brasil,"Mako, PLSQL, PHP, HTML, SCSS, Go, Dockerfile, Procfile, Pug, VBA, TypeScript, Batchfile, Shell, Makefile, CSS, JavaScript, Python"
mkober,"Bethlehem, PA","Java, Go, Emacs Lisp, SCSS, Vue, Alloy, F#, Ruby, TypeScript, C, JavaScript, Rust, HTML, Dockerfile, CSS, HCL, Jupyter Notebook, Shell, PowerShell, Python, GDScript, Velocity Template Language, Lua, Batchfile, C#, Makefile"
xdanger,Singapore,"Java, Zig, Go, Vim Script, Swift, Ruby, TypeScript, PigLatin, C, JavaScript, LookML, Nix, Rust, R, Cuda, HTML, Dockerfile, Bicep, C++, CSS, CMake, HCL, Scala, Metal, Procfile, PLpgSQL, Jupyter Notebook, Shell, Jinja, MDX, PowerShell, Python, Objective-C, Jsonnet, Pug, NSIS, Batchfile, Makefile, C#"
bwl,"Union City, NJ","CoffeeScript, Java, Emacs Lisp, PHP, Perl, HTML, Dockerfile, Vim Snippet, Puppet, Ruby, TypeScript, Batchfile, Shell, C#, Makefile, CSS, JavaScript, Python"
klarrimore,,"Java, HTML, Perl, Ruby, TypeScript, Shell, Makefile, C++, CSS, JavaScript, ApacheConf, C"
slouffka,,"Java, Vim Script, Perl, Haskell, TypeScript, C, JavaScript, Rust, PHP, HTML, M4, Haxe, Assembly, C++, CSS, CMake, Roff, Shell, Python, Lua, Yacc, Groovy, GLSL, Batchfile, Makefile, HLSL"
